pagetitle,15;16;17;18;25;82;86;91;94;95;96;118;119;123;126;6
"H1B-H-6M-ML-APB-C";"";"Hy-Lok 6мм";"414 бар";"1.2";"10мм";"PVDF (стандарт)";"да";"SS-43S6MM-A15C4";"да";"Нормально закрытый";"нет";"V86A-D-6M-P2-PCS1";"";"M6-HB4L-SSP";"M6-HB4L-SSP";;
"H1B-H-10M-ML-APB-C";"";"Hy-Lok 10мм";"414 бар";"3.7";"10мм";"PVDF (стандарт)";"да";"SS-62TS10MM-A15C4";"да";"Нормально закрытый";"нет";"V86A-D-10M-P2-PCS1";"";"M10-HB4L-SSP";"M10-HB4L-SSP";"assets/images/105_H_s100.jpg";
"H1B-H-12M-ML-APB-C";"";"Hy-Lok 12мм";"414 бар";"7.5";"10мм";"PVDF (стандарт)";"да";"SS-63TS12MM-A30C4";"да";"Нормально закрытый";"нет";"V86A-D-12M-P2-PCS1";"";"M12-HB4L-SSP";"M12-HB4L-SSP";"assets/images/105_H_s100.jpg";
"H1B-H-14M-ML-APB-C";"";"Hy-Lok 14мм";"414 бар";"7.5";"10мм";"PVDF (стандарт)";"да";"SS-63TS14MM-A30C4";"да";"Нормально закрытый";"нет";"V86A-D-14M-P2-PCS1";"";"M14-HB4L-SSP";"M14-HB4L-SSP";"assets/images/105_H_s100.jpg";
"H2B-H-16M-ML-APB-C";"";"Hy-Lok 16мм";"340 бар";"10";"12.7мм";"PVDF (стандарт)";"да";"SS-63TS16MM-A30C4";"да";"Нормально закрытый";"нет";"V86B-D-16M-P2-PCS1";"VC86B-D-16M-P2-PCS1";"M16-HB4L-SSP";"M16-HB4L-SSP";"assets/images/105_H_s100.jpg";
"H2B-H-18M-ML-APB-C";"";"Hy-Lok 18мм";"340 бар";"10";"12.7мм";"PVDF (стандарт)";"да";"SS-63TS18MM-A30C4";"да";"Нормально закрытый";"нет";"V86B-D-18M-P2-PCS1";"VC86B-D-18M-P2-PCS1";"M18-HB4L-SSP";"M18-HB4L-SSP";"assets/images/105_H_s100.jpg";
"H3B-H-20M-ML-APB-C";"";"Hy-Lok 20мм";"-";"-";;"PVDF (стандарт)";"да";"SS-65TS20MM-A60C4";"да";"Нормально закрытый";"нет";"V86C-D-20M-P2-PCS2";"VC86C-D-20M-P2-PCS2";"M20-HB4L-SSP";"M20-HB4L-SSP";"assets/images/105_H_s100.jpg";
"H3B-H-25M-ML-APB-C";"";"Hy-Lok 25мм";"340 бар";"30";"19мм";"PVDF (стандарт)";"да";"SS-65TS25MM-A60C4";"да";"Нормально закрытый";"нет";"V86C-D-25M-P2-PCS2";"VC86C-D-25M-P2-PCS2";"M25-HB4L-SSP";"M25-HB4L-SSP";"assets/images/105_H_s100.jpg";
"H1B-F-4N-ML-APB-C";"";"NPT 1/4 внутр.";"414 бар";"7.5";"10мм";"PVDF (стандарт)";"да";"SS-62TF4-A15C4";"да";"Нормально закрытый";"нет";"V86A-F-4N-P2-PCS1";"";"4F-HB4L-SSP";"4F-HB4L-SSP";"assets/images/105_F_s100.jpg";
"H1B-F-8N-ML-APB-C";"";"NPT 1/2 внутр.";"414 бар";"7.5";"10мм";"PVDF (стандарт)";"да";"SS-63TF8-A30C4";"да";"Нормально закрытый";"нет";"V86A-F-8N-P2-PCS1";"";"8F-HB4L-SSP";"8F-HB4L-SSP";"assets/images/105_F_s100.jpg";
