pagetitle,15;16;17;25;6
"AR41E020.220/50";"";"2000 Н ";"220/50";"стандарт";;
"AR41E030.220/50";"";"3000 H ";"220/50";"стандарт";"products/valves/zatvor/AR41E.png";
"AR41E050.220/50";"";"5000 Н ";"220/50";"стандарт";"products/valves/zatvor/AR41E.png";
"AR41E080.220/50";"";"8000 Н ";"220/50";"стандарт";"products/valves/zatvor/AR41E.png";
"AR41E100.220/50";"";"10000 Н ";"220/50";"стандарт";"products/valves/zatvor/AR41E.png";
"AR41E160.220/50";"";"16000 Н ";"220/50";"стандарт";"products/valves/zatvor/AR41E.png";
"AR41E200.220/50";"";"20000 Н ";"220/50";"стандарт";"products/valves/zatvor/AR41E.png";
"AR41E250.220/50";"";"25000 Н ";"220/50";"стандарт";"products/valves/zatvor/AR41E.png";
"AR41E300.220/50";"";"30000 Н ";"220/50";"стандарт";"products/valves/zatvor/AR41E.png";
"AR41E020.24/DC";"";"2000 Н ";"24/DC";"стандарт";"products/valves/zatvor/AR41E.png";
"AR41E030.24/DC";"";"3000 H ";"24/DC";"стандарт";"products/valves/zatvor/AR41E.png";
"AR41E050.24/DC";"";"5000 Н ";"24/DC";"стандарт";"products/valves/zatvor/AR41E.png";
"AR41E080.24/DC";"";"8000 Н ";"24/DC";"стандарт";"products/valves/zatvor/AR41E.png";
"AR41E100.24/DC";"";"10000 Н ";"24/DC";"стандарт";"products/valves/zatvor/AR41E.png";
"AR41E160.24/DC";"";"16000 Н ";"24/DC";"стандарт";"products/valves/zatvor/AR41E.png";
"AR41E200.24/DC";"";"20000 Н ";"24/DC";"стандарт";"products/valves/zatvor/AR41E.png";
"AR41E250.24/DC";"";"25000 Н ";"24/DC";"стандарт";"products/valves/zatvor/AR41E.png";
"AR41E300.24/DC";"";"30000 Н ";"24/DC";"стандарт";"products/valves/zatvor/AR41E.png";
"AR41E020.LT.220/50";"";"2000 Н ";"220/50";"на -40°C";"products/valves/zatvor/AR41E.png";
"AR41E030.LT.220/50";"";"3000 H ";"220/50";"на -40°C";"products/valves/zatvor/AR41E.png";
"AR41E050.LT.220/50";"";"5000 Н ";"220/50";"на -40°C";"products/valves/zatvor/AR41E.png";
"AR41E080.LT.220/50";"";"8000 Н ";"220/50";"на -40°C";"products/valves/zatvor/AR41E.png";
"AR41E100.LT.220/50";"";"10000 Н ";"220/50";"на -40°C";"products/valves/zatvor/AR41E.png";
"AR41E160.LT.220/50";"";"16000 Н ";"220/50";"на -40°C";"products/valves/zatvor/AR41E.png";
"AR41E200.LT.220/50";"";"20000 Н ";"220/50";"на -40°C";"products/valves/zatvor/AR41E.png";
"AR41E250.LT.220/50";"";"25000 Н ";"220/50";"на -40°C";"products/valves/zatvor/AR41E.png";
"AR41E300.LT.220/50";"";"30000 Н ";"220/50";"на -40°C";"products/valves/zatvor/AR41E.png";
"AR41E020.LT.24/DC";"";"2000 Н ";"24/DC";"на -40°C";"products/valves/zatvor/AR41E.png";
"AR41E030.LT.24/DC";"";"3000 H ";"24/DC";"на -40°C";"products/valves/zatvor/AR41E.png";
"AR41E050.LT.24/DC";"";"5000 Н ";"24/DC";"на -40°C";"products/valves/zatvor/AR41E.png";
"AR41E080.LT.24/DC";"";"8000 Н ";"24/DC";"на -40°C";"products/valves/zatvor/AR41E.png";
"AR41E100.LT.24/DC";"";"10000 Н ";"24/DC";"на -40°C";"products/valves/zatvor/AR41E.png";
"AR41E160.LT.24/DC";"";"16000 Н ";"24/DC";"на -40°C";"products/valves/zatvor/AR41E.png";
"AR41E200.LT.24/DC";"";"20000 Н ";"24/DC";"на -40°C";"products/valves/zatvor/AR41E.png";
"AR41E250.LT.24/DC";"";"25000 Н ";"24/DC";"на -40°C";"products/valves/zatvor/AR41E.png";
"AR41E300.LT.24/DC";"";"30000 Н ";"24/DC";"на -40°C";"products/valves/zatvor/AR41E.png";
"AR41E020.EX.LT.220/50";"";"2000 Н ";"220/50";"на -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E030.EX.LT.220/50";"";"3000 H ";"220/50";"на -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E050.EX.LT.220/50";"";"5000 Н ";"220/50";"на -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E080.EX.LT.220/50";"";"8000 Н ";"220/50";"на -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E100.EX.LT.220/50";"";"10000 Н ";"220/50";"на -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E160.EX.LT.220/50";"";"16000 Н ";"220/50";"на -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E200.EX.LT.220/50";"";"20000 Н ";"220/50";"на -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E250.EX.LT.220/50";"";"25000 Н ";"220/50";"на -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E300.EX.LT.220/50";"";"30000 Н ";"220/50";"на -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E020.EX.LT.24/DC";"";"2000 Н ";"24/DC";"на -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E030.EX.LT.24/DC";"";"3000 H ";"24/DC";"на -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E050.EX.LT.24/DC";"";"5000 Н ";"24/DC";"на -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E080.EX.LT.24/DC";"";"8000 Н ";"24/DC";"на -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E100.EX.LT.24/DC";"";"10000 Н ";"24/DC";"на -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E160.EX.LT.24/DC";"";"16000 Н ";"24/DC";"на -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E200.EX.LT.24/DC";"";"20000 Н ";"24/DC";"на -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E250.EX.LT.24/DC";"";"25000 Н ";"24/DC";"на -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E300.EX.LT.24/DC";"";"30000 Н ";"24/DC";"на -40°C ATEX";"products/valves/zatvor/AR41E.png";
"AR41E020.POSI.LT.220/50";"";"2000 Н ";"220/50";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E030.POSI.LT.220/50";"";"3000 H ";"220/50";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E050.POSI.LT.220/50";"";"5000 Н ";"220/50";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E080.POSI.LT.220/50";"";"8000 Н ";"220/50";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E100.POSI.LT.220/50";"";"10000 Н ";"220/50";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E160.POSI.LT.220/50";"";"16000 Н ";"220/50";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E200.POSI.LT.220/50";"";"20000 Н ";"220/50";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E250.POSI.LT.220/50";"";"25000 Н ";"220/50";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E300.POSI.LT.220/50";"";"30000 Н ";"220/50";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E020.POSI.LT.24/DC";"";"2000 Н ";"24/DC";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E030.POSI.LT.24/DC";"";"3000 H ";"24/DC";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E050.POSI.LT.24/DC";"";"5000 Н ";"24/DC";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E080.POSI.LT.24/DC";"";"8000 Н ";"24/DC";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E100.POSI.LT.24/DC";"";"10000 Н ";"24/DC";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E160.POSI.LT.24/DC";"";"16000 Н ";"24/DC";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E200.POSI.LT.24/DC";"";"20000 Н ";"24/DC";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E250.POSI.LT.24/DC";"";"25000 Н ";"24/DC";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E300.POSI.LT.24/DC";"";"30000 Н ";"24/DC";"позиционер -40°C";"products/valves/zatvor/AR41E.png";
"AR41E020.POSI.EX.LT.220/50";"";"2000 Н ";"220/50";"позиционер -40°C ATEX";"products/valves/zatvor/AR41E.png";
